@relation feature_abnormal_ICBCtrain-weka.filters.unsupervised.attribute.Remove-R1

@attribute transAmount numeric
@attribute maxMoney numeric
@attribute minMoney numeric
@attribute avgMoney numeric
@attribute IP numeric

@data
12322.094,12322.094,9642.9,10982.497,1
9642.9,12322.094,9642.9,10982.497,1
10179.45864,13541.9605,1981.776279,7353.541,1
1981.776279,13541.9605,1981.776279,7353.541,1
13541.9605,13541.9605,1981.776279,7353.541,1
3710.97,13541.9605,1981.776279,7353.541,0
5579.957,9085.694,5579.957,7163.358,0
6390.206,9085.694,5579.957,7163.358,1
9085.694,9085.694,5579.957,7163.358,0
5803.4351,9085.694,5579.957,7163.358,1
8957.5,9085.694,5579.957,7163.358,0
8217.47,8217.47,4177.905389,6497.586,1
4177.905389,8217.47,4177.905389,6497.586,0
7097.382,8217.47,4177.905389,6497.586,0
11572.74663,11572.74663,11572.74663,11572.747,0
2791.2102,6666.851212,2791.2102,4729.031,1
6666.851212,6666.851212,2791.2102,4729.031,0
7439.68234,7439.68234,2969.707,5204.695,1
2969.707,7439.68234,2969.707,5204.695,1
4561.7511,4561.7511,4561.7511,4561.751,0
6017.1441,10821.4,4198.877603,7012.474,1
10821.4,10821.4,4198.877603,7012.474,0
4198.877603,10821.4,4198.877603,7012.474,1
1761.03,11176.63,617.82475,5517.882,1
617.82475,11176.63,617.82475,5517.882,1
11176.63,11176.63,617.82475,5517.882,0
8516.042,11176.63,617.82475,5517.882,1
10254,10254,306.21566,5690.809,0
306.21566,10254,306.21566,5690.809,0
6512.211,10254,306.21566,5690.809,1
6874.430448,10438.8,2531.86373,5158.247,1
2819.10046,10438.8,2531.86373,5158.247,1
2531.86373,10438.8,2531.86373,5158.247,1
3127.04,10438.8,2531.86373,5158.247,0
10438.8,10438.8,2531.86373,5158.247,0
4894.5,8050.6,1080.6052,4675.235,0
8050.6,8050.6,1080.6052,4675.235,1
1080.6052,8050.6,1080.6052,4675.235,0
5898.3262,7572.877,5898.3262,6767.651,1
6831.75,7572.877,5898.3262,6767.651,1
7572.877,7572.877,5898.3262,6767.651,0
7237.91,14171.95,1876.2771,9117.571,1
11400.72,14171.95,1876.2771,9117.571,1
10901,14171.95,1876.2771,9117.571,0
1876.2771,14171.95,1876.2771,9117.571,0
14171.95,14171.95,1876.2771,9117.571,0
603.561,10935.9,603.561,5794.409,0
4086.343,10935.9,603.561,5794.409,1
8574.14,10935.9,603.561,5794.409,1
4772.1,10935.9,603.561,5794.409,1
10935.9,10935.9,603.561,5794.409,1
8752.091026,8752.091026,5997.097,7374.594,1
5997.097,8752.091026,5997.097,7374.594,0
2781.39276,16107.351,2781.39276,8582.551,1
6858.91,16107.351,2781.39276,8582.551,1
16107.351,16107.351,2781.39276,8582.551,0
10362.80775,10362.80775,2243.35377,6490.24,1
2243.35377,10362.80775,2243.35377,6490.24,0
7684.1094,10362.80775,2243.35377,6490.24,0
4936.2,10362.80775,2243.35377,6490.24,1
7224.73,10362.80775,2243.35377,6490.24,1
11253.6,11253.6,6618.23707,9633.626,1
6618.23707,11253.6,6618.23707,9633.626,0
11029.040518,11253.6,6618.23707,9633.626,0
7427.864636,8811.41,4087.89,6775.722,0
8811.41,8811.41,4087.89,6775.722,1
4087.89,8811.41,4087.89,6775.722,0
8856.22125,8856.22125,2926.898635,5891.56,0
2926.898635,8856.22125,2926.898635,5891.56,0
16867.9,16867.9,6053.7,10833.002,1
9577.4066,16867.9,6053.7,10833.002,0
6053.7,16867.9,6053.7,10833.002,0
9202.335,15841.572056,9202.335,12521.954,0
