"user","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","label"
"622420678621857","O","8","2","20210325055132","173.192.182.211","8325.6","7482YR63472358","1","5"
"622420678621857","W","4","8","20171008052545","158.245.148.171","4546.2195","5168NY09515557","1","6"
"622420678621857","K","3","6","20210523174517","179.154.200.174","8907.689055","4770SP17469323","1","6"
"622420678621857","N","2","7","20200515132400","172.118.122.226","7866.7","7642DV87427589","0","4"
"622420678621857","Y","6","0","20200613193807","235.112.234.184","1941.8","1585FD77763439","0","1"
"622420678621857","Z","5","1","20190921044504","132.210.231.223","5502.68817","3652CN92816313","1","6"
"622420678621857","G","7","4","20170923121146","239.147.229.201","7843.781","9820HG27453566","1","3"
"622420678621857","P","2","8","20200214223956","237.231.120.172","5574.56","1425EO55346942","1","3"
"622420678621857","G","0","9","20181212111251","144.193.100.110","4511.550","2379QS46593990","1","4"
"622420678621857","G","8","4","20210929165901","157.224.199.131","3840.37","1585FD77763439","1","2"
"622420678621857","X","6","1","20201203112928","165.204.100.203","9805.5270","4218VY44831593","1","1"
"622420678621857","F","8","3","20210228001603","136.151.130.205","1415.3558","9820HG27453566","1","4"
"622420678621857","Q","2","1","20190917232137","217.118.253.125","11038.9","6355NC39241405","1","5"
"758825102423124","U","7","8","20200824123508","235.106.119.118","678.75451","9036PZ90547005","0","1"
"758825102423124","H","5","0","20211202105500","183.245.105.198","5855.3810","9734KR45672367","0","4"
"758825102423124","S","4","0","20191128211006","110.142.168.203","6869.3601","9279FF58112764","0","3"
"758825102423124","U","9","1","20210214210404","184.178.220.117","6989.07","4903FT23412669","0","6"
"758825102423124","C","4","3","20170716133440","255.126.127.106","12433.9099","4264MH51614296","1","5"
"758825102423124","G","0","4","20200128220828","104.243.113.123","12266.92842","5729OU55406083","0","5"
"758825102423124","I","4","0","20190828205412","210.218.247.148","13965.8239","4770SP17469323","1","0"
"758825102423124","F","5","3","20170813065814","145.128.253.141","2195.945682","3652CN92816313","0","5"
"556362456417335","Z","0","8","20190614221643","185.141.149.175","6978.194659","2895LL60437724","1","2"
"556362456417335","T","1","0","20210531162425","231.137.115.132","11398.881344","2886FI15082575","0","6"
"556362456417335","V","1","1","20181228183127","167.223.246.240","10906.935908","0789VQ79195949","1","3"
"556362456417335","K","3","2","20180911061509","148.112.233.247","1459.43","5842NW49392790","0","4"
"556362456417335","S","8","4","20181009170534","147.153.179.129","4362.7","4118ZH50152010","1","6"
"556362456417335","R","1","8","20210723084302","137.105.211.174","8622.721","4192EB76351265","1","5"
"556362456417335","K","9","0","20180602045638","111.105.231.121","6199.569690","4264MH51614296","0","1"
"556362456417335","D","8","8","20210426123755","149.100.208.215","6634.133","2895LL60437724","0","3"
"556362456417335","Z","3","5","20211109133915","175.232.174.111","5215.35","4218VY44831593","0","4"
"656362908123046","Z","0","6","20200621152944","140.112.179.108","6759.765461","7561AQ75039070","1","5"
"656362908123046","K","9","5","20211004112803","127.199.171.177","6846.5291","4770SP17469323","0","6"
"656362908123046","V","8","0","20180118144404","141.182.150.162","3417.242640","0051CH54048662","1","2"
"656362908123046","X","4","1","20200421033333","201.129.147.214","8445.2009","4903FT23412669","0","3"
"656362908123046","C","8","3","20180214040128","199.150.133.207","13519.494773","0789VQ79195949","0","4"
"656362908123046","E","8","3","20170902004653","189.154.198.152","2193.297","6351RW56321155","1","4"
"656362908123046","B","8","8","20190524164108","124.148.102.208","7006.4","9489ST35214366","0","0"
"656362908123046","P","8","4","20201002133637","231.162.240.241","8211.07","5959IJ52802513","0","4"
"656362908123046","D","9","2","20210418132517","121.124.184.177","2607.7","9820HG27453566","0","4"
"656362908123046","X","3","0","20180402145306","137.157.112.113","2475.08592","5224AM76351367","0","0"
